COMPONENT SECTION,MATERIAL,SIZE,STOCK CODE,STOCK DESCRIPTION,AverageBuyingPrice
Bar material / finish,Bare Hard Drawn Copper Bar,300 x 6,HD30006,BARE HARD DRAWN COPPER BAR 300 X 6MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,300 x 6,HDT30006,TINNED HARD DRAWN COPPER BAR 300 X 6MM,
Bar material / finish,Bare Hard Drawn Copper Bar,300 x 8,HD30008,BARE HARD DRAWN COPPER BAR 300 X 8MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,300 x 8,HDT30008,TINNED HARD DRAWN COPPER BAR 300 X 8MM,
Bar material / finish,Bare Hard Drawn Copper Bar,31 x 10,HD3110,BARE HARD DRAWN COPPER BAR 31 X 10MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,31 x 10,HDT3110,TINNED HARD DRAWN COPPER BAR 31 X 10MM,
Bar material / finish,Bare Hard Drawn Copper Bar,31 x 12,HD3112,BARE HARD DRAWN COPPER BAR 31 X 12MM,10.84
Bar material / finish,Tinned Hard Drawn Copper Bar,31 x 12,HDT3112,TINNED HARD DRAWN COPPER BAR 31 X 12MM,
Bar material / finish,Bare Hard Drawn Copper Bar,31 x 3,HD3103,BARE HARD DRAWN COPPER BAR 31 X 3MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,31 x 3,HDT3103,TINNED HARD DRAWN COPPER BAR 31 X 3MM,
Bar material / finish,Bare Hard Drawn Copper Bar,31 x 4,HD3104,BARE HARD DRAWN COPPER BAR 31 X 4MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,31 x 4,HDT3104,TINNED HARD DRAWN COPPER BAR 31 X 4MM,
Bar material / finish,Bare Hard Drawn Copper Bar,31 x 5,HD3105,BARE HARD DRAWN COPPER BAR 31 X 5MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,31 x 5,HDT3105,TINNED HARD DRAWN COPPER BAR 31 X 5MM,
Bar material / finish,Bare Hard Drawn Copper Bar,31 x 6,HD3106,BARE HARD DRAWN COPPER BAR 31 X 6MM,0
Bar material / finish,Tinned Hard Drawn Copper Bar,31 x 6,HDT3106,TINNED HARD DRAWN COPPER BAR 31 X 6MM,
Bar material / finish,Bare Hard Drawn Copper Bar,31 x 8,HD3108,BARE HARD DRAWN COPPER BAR 31 X 8MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,31 x 8,HDT3108,TINNED HARD DRAWN COPPER BAR 31 X 8MM,
Bar material / finish,Bare Hard Drawn Copper Bar,32 x 10,HD3210,BARE HARD DRAWN COPPER BAR 32 X 10MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,32 x 10,HDT3210,TINNED HARD DRAWN COPPER BAR 32 X 10MM,
Bar material / finish,Bare Hard Drawn Copper Bar,32 x 12,HD3212,BARE HARD DRAWN COPPER BAR 32 X 12MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,32 x 12,HDT3212,TINNED HARD DRAWN COPPER BAR 32 X 12MM,
Bar material / finish,Bare Hard Drawn Copper Bar,32 x 3,HD3203,BARE HARD DRAWN COPPER BAR 32 X 3MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,32 x 3,HDT3203,TINNED HARD DRAWN COPPER BAR 32 X 3MM,
Bar material / finish,Bare Hard Drawn Copper Bar,32 x 4,HD3204,BARE HARD DRAWN COPPER BAR 32 X 4MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,32 x 4,HDT3204,TINNED HARD DRAWN COPPER BAR 32 X 4MM,
Bar material / finish,Bare Hard Drawn Copper Bar,32 x 5,HD3205,BARE HARD DRAWN COPPER BAR 32 X 5MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,32 x 5,HDT3205,TINNED HARD DRAWN COPPER BAR 32 X 5MM,
Bar material / finish,Bare Hard Drawn Copper Bar,32 x 6,HD3206,BARE HARD DRAWN COPPER BAR 32 X 6MM,14.82
Bar material / finish,Tinned Hard Drawn Copper Bar,32 x 6,HDT3206,TINNED HARD DRAWN COPPER BAR 32 X 6MM,0
Bar material / finish,Bare Hard Drawn Copper Bar,32 x 8,HD3208,BARE HARD DRAWN COPPER BAR 32 X 8MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,32 x 8,HDT3208,TINNED HARD DRAWN COPPER BAR 32 X 8MM,
Bar material / finish,Bare Hard Drawn Copper Bar,38 x 10,HD3810,BARE HARD DRAWN COPPER BAR 38 X 10MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,38 x 10,HDT3810,TINNED HARD DRAWN COPPER BAR 38 X 10MM,
Bar material / finish,Bare Hard Drawn Copper Bar,38 x 12,HD3812,BARE HARD DRAWN COPPER BAR 38 X 12MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,38 x 12,HDT3812,TINNED HARD DRAWN COPPER BAR 38 X 12MM,
Bar material / finish,Bare Hard Drawn Copper Bar,38 x 3,HD3803,BARE HARD DRAWN COPPER BAR 38 X 3MM,9.5
Bar material / finish,Tinned Hard Drawn Copper Bar,38 x 3,HDT3803,TINNED HARD DRAWN COPPER BAR 38 X 3MM,
Bar material / finish,Bare Hard Drawn Copper Bar,38 x 4,HD3804,BARE HARD DRAWN COPPER BAR 38 X 4MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,38 x 4,HDT3804,TINNED HARD DRAWN COPPER BAR 38 X 4MM,
Bar material / finish,Bare Hard Drawn Copper Bar,38 x 5,HD3805,BARE HARD DRAWN COPPER BAR 38 X 5MM,11.3
Bar material / finish,Tinned Hard Drawn Copper Bar,38 x 5,HDT3805,TINNED HARD DRAWN COPPER BAR 38 X 5MM,
Bar material / finish,Bare Hard Drawn Copper Bar,38 x 6,HD3806,BARE HARD DRAWN COPPER BAR 38 X 6MM,19.45576
Bar material / finish,Tinned Hard Drawn Copper Bar,38 x 6,HDT3806,TINNED HARD DRAWN COPPER BAR 38 X 6MM,0
Bar material / finish,Bare Hard Drawn Copper Bar,38 x 8,HD3808,BARE HARD DRAWN COPPER BAR 38 X 8MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,38 x 8,HDT3808,TINNED HARD DRAWN COPPER BAR 38 X 8MM,
Bar material / finish,Bare Hard Drawn Copper Bar,40 x 10,HD4010,BARE HARD DRAWN COPPER BAR 40 X 10MM,21.36
Bar material / finish,Tinned Hard Drawn Copper Bar,40 x 10,HDT4010,TINNED HARD DRAWN COPPER BAR 40 X 10MM,0
Bar material / finish,Bare Hard Drawn Copper Bar,40 x 12,HD4012,BARE HARD DRAWN COPPER BAR 40 X 12MM,
Bar material / finish,Tinned Hard Drawn Copper Bar,40 x 12,HDT4012,TINNED HARD DRAWN COPPER BAR 40 X 12MM,
